DT_GERACAO,AA_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,DS_GENERO,DS_ESTADO_CIVIL,DS_FAIXA_ETARIA,DS_GRAU_ESCOLARIDADE,DS_RACA_COR,DS_IDENTIDADE_GENERO,DS_QUILOMBOLA,QT_ELEITORES,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_NOME_SOCIAL
14/07/2026,2026,AC,01538,SENADOR GUIOMARD,8,MASCULINO,SOLTEIRO,75 a 79 anos,LÊ E ESCREVE,Branca,Prefere não informar,NÃO,1,1,0,0
14/07/2026,2026,AC,01058,BRASILÉIA,6,FEMININO,SOLTEIRO,45 a 49 anos,SUPERIOR COMPLETO,Branca,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,FEMININO,CASADO,50 a 54 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,FEMININO,CASADO,60 a 64 anos,LÊ E ESCREVE,Preta,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,MASCULINO,SOLTEIRO,20 anos,ENSINO MÉDIO COMPLETO,Parda,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01040,MARECHAL THAUMATURGO,4,MASCULINO,SOLTEIRO,25 a 29 anos,ENSINO MÉDIO INCOMPLETO,Indígena,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,FEMININO,SOLTEIRO,55 a 59 anos,LÊ E ESCREVE,Branca,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,FEMININO,SOLTEIRO,50 a 54 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,MASCULINO,SOLTEIRO,19 anos,ENSINO MÉDIO INCOMPLETO,Parda,Transgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01023,PORTO ACRE,1,MASCULINO,SOLTEIRO,55 a 59 anos,ENSINO MÉDIO COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,13,13,1,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,FEMININO,DIVORCIADO,45 a 49 anos,SUPERIOR COMPLETO,Branca,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01112,EPITACIOLÂNDIA,6,MASCULINO,CASADO,30 a 34 anos,ENSINO MÉDIO COMPLETO,Parda,Prefere não informar,NÃO,1,1,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,FEMININO,VIÚVO,55 a 59 anos,ENSINO FUNDAMENTAL INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,3,3,0,0
14/07/2026,2026,AC,01058,BRASILÉIA,6,MASCULINO,SOLTEIRO,60 a 64 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,MASCULINO,SOLTEIRO,19 anos,LÊ E ESCREVE,Parda,Cisgênero,NÃO,4,4,0,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,MASCULINO,SOLTEIRO,35 a 39 anos,ENSINO FUNDAMENTAL INCOMPLETO,Indígena,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,MASCULINO,CASADO,75 a 79 anos,ENSINO FUNDAMENTAL INCOMPLETO,Parda,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,MASCULINO,CASADO,55 a 59 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,DIVORCIADO,50 a 54 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,2,2,0,0
14/07/2026,2026,AC,01473,TARAUACÁ,5,FEMININO,CASADO,85 a 89 anos,ENSINO FUNDAMENTAL COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,MASCULINO,SOLTEIRO,21 a 24 anos,ENSINO FUNDAMENTAL INCOMPLETO,Indígena,Prefere não informar,NÃO,1,0,0,0
14/07/2026,2026,AC,01570,ASSIS BRASIL,6,MASCULINO,CASADO,50 a 54 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01023,PORTO ACRE,1,MASCULINO,DIVORCIADO,40 a 44 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,MASCULINO,DIVORCIADO,45 a 49 anos,LÊ E ESCREVE,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01090,MÂNCIO LIMA,4,FEMININO,SOLTEIRO,30 a 34 anos,SUPERIOR COMPLETO,Indígena,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01058,BRASILÉIA,6,FEMININO,SOLTEIRO,20 anos,ENSINO MÉDIO COMPLETO,Branca,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01457,SENA MADUREIRA,3,MASCULINO,VIÚVO,90 a 94 anos,ANALFABETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,6,6,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,MASCULINO,CASADO,60 a 64 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,48,48,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,MASCULINO,CASADO,50 a 54 anos,SUPERIOR INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,119,117,0,0
14/07/2026,2026,AC,01074,CRUZEIRO DO SUL,4,FEMININO,CASADO,65 a 69 anos,LÊ E ESCREVE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,84,84,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,FEMININO,SOLTEIRO,17 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,44,44,2,0
