ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,1,496,ACREPREVIDÊNCIA,8,2828,"RIO BRANCO, Acre, Brasil, ACREPREVIDÊNCIA"
2024,RIO BRANCO,9,321,ASSOC. COMERCIAL - ACISA,2,2070,"RIO BRANCO, Acre, Brasil, ASSOC. COMERCIAL - ACISA"
2024,RIO BRANCO,1,702,SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO (SEPLAG - ANTIGA SDA),7,3476,"RIO BRANCO, Acre, Brasil, SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO (SEPLAG - ANTIGA SDA)"
2024,RIO BRANCO,9,49,CONAB - COMPANHIA NACIONAL DE ABASTECIMENTO,11,2259,"RIO BRANCO, Acre, Brasil, CONAB - COMPANHIA NACIONAL DE ABASTECIMENTO"
2024,RIO BRANCO,1,458,ESCOLA PROF. SEBASTIÃO PEDROSA (ARENA DA FLORESTA),9,2550,"RIO BRANCO, Acre, Brasil, ESCOLA PROF. SEBASTIÃO PEDROSA (ARENA DA FLORESTA)"
2024,RIO BRANCO,9,15,ESCOLA INFANTIL MONTEIRO LOBATO,11,1368,"RIO BRANCO, Acre, Brasil, ESCOLA INFANTIL MONTEIRO LOBATO"
2024,RIO BRANCO,9,52,ESCOLA SERAFIM DA SILVA SALGADO,7,1090,"RIO BRANCO, Acre, Brasil, ESCOLA SERAFIM DA SILVA SALGADO"
2024,RIO BRANCO,9,338,ESCOLA PROFESSOR PEDRO MARTINELLO,5,2127,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR PEDRO MARTINELLO"
2024,RIO BRANCO,1,737,ESCOLA VOVO MOCINHA,3,3590,"RIO BRANCO, Acre, Brasil, ESCOLA VOVO MOCINHA"
2024,RIO BRANCO,1,567,ESCOLA MUNICIPAL MONTE CASTELO,6,3247,"RIO BRANCO, Acre, Brasil, ESCOLA MUNICIPAL MONTE CASTELO"
2024,RIO BRANCO,1,381,MINISTÉRIO PÚBLICO DO TRABALHO - MPT,10,1694,"RIO BRANCO, Acre, Brasil, MINISTÉRIO PÚBLICO DO TRABALHO - MPT"
2024,RIO BRANCO,1,524,ESCOLA MUNICIPAL CHICO MENDES,2,2933,"RIO BRANCO, Acre, Brasil, ESCOLA MUNICIPAL CHICO MENDES"
2024,RIO BRANCO,1,527,ESCOLA MANOEL MACHADO,4,3093,"RIO BRANCO, Acre, Brasil, ESCOLA MANOEL MACHADO"
2024,RIO BRANCO,9,62,COLÉGIO META III,13,1520,"RIO BRANCO, Acre, Brasil, COLÉGIO META III"
2024,RIO BRANCO,1,15,PREFEITURA MUNICIPAL DE RIO BRANCO,6,1090,"RIO BRANCO, Acre, Brasil, PREFEITURA MUNICIPAL DE RIO BRANCO"
2024,RIO BRANCO,1,655,ESCOLA PIMENTEL GOMES,6,3336,"RIO BRANCO, Acre, Brasil, ESCOLA PIMENTEL GOMES"
2024,RIO BRANCO,9,365,ESCOLA ESTADUAL PROFESSORA ELOZIRA DOS SANTOS TOMÉ,3,2216,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL PROFESSORA ELOZIRA DOS SANTOS TOMÉ"
2024,RIO BRANCO,9,160,ESCOLA ACREANA DE MÚSICA (ANT CENTRO CULTURAL),8,1767,"RIO BRANCO, Acre, Brasil, ESCOLA ACREANA DE MÚSICA (ANT CENTRO CULTURAL)"
2024,RIO BRANCO,1,441,ESCOLA PROF. SEBASTIÃO PEDROSA (ARENA DA FLORESTA),4,2550,"RIO BRANCO, Acre, Brasil, ESCOLA PROF. SEBASTIÃO PEDROSA (ARENA DA FLORESTA)"
2024,RIO BRANCO,9,220,URAP - AUGUSTO HIDALGO DE LIMA,4,1759,"RIO BRANCO, Acre, Brasil, URAP - AUGUSTO HIDALGO DE LIMA"
2024,RIO BRANCO,9,206,ESCOLA JOÃO PAULO I,5,1236,"RIO BRANCO, Acre, Brasil, ESCOLA JOÃO PAULO I"
2024,RIO BRANCO,1,802,ESCOLA MARIA LÚCIA MOURA MARIN,11,3549,"RIO BRANCO, Acre, Brasil, ESCOLA MARIA LÚCIA MOURA MARIN"
2024,RIO BRANCO,9,60,COLÉGIO META III,10,1520,"RIO BRANCO, Acre, Brasil, COLÉGIO META III"
2024,RIO BRANCO,9,22,FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DO ACRE - FIEAC,6,1376,"RIO BRANCO, Acre, Brasil, FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DO ACRE - FIEAC"
2024,RIO BRANCO,9,11,ESCOLA INFANTIL MONTEIRO LOBATO,6,1368,"RIO BRANCO, Acre, Brasil, ESCOLA INFANTIL MONTEIRO LOBATO"
2024,RIO BRANCO,1,682,SENAC,6,3522,"RIO BRANCO, Acre, Brasil, SENAC"
2024,RIO BRANCO,9,99,ESCOLA JOÃO PAULO II,7,1252,"RIO BRANCO, Acre, Brasil, ESCOLA JOÃO PAULO II"
2024,RIO BRANCO,9,145,ESCOLA FRANCISCO DE PAULA LEITE OITICICA,6,1538,"RIO BRANCO, Acre, Brasil, ESCOLA FRANCISCO DE PAULA LEITE OITICICA"
2024,RIO BRANCO,9,294,COLÉGIO META III,10,1520,"RIO BRANCO, Acre, Brasil, COLÉGIO META III"
